"filename", "language", "Markdown", "C#", "JSON", "XML", "JavaScript", "CSS", "JavaScript JSX", "Log", "HTML", "Docker", "comment", "blank", "total"
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\CHANGELOG.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\DataStreamController.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 96
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\HomeController.cs", "C#", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 243
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\LogsController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 9, 43
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Mabinogi_Damage_Tracker.Server.csproj", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\DamageDetails.cs", "C#", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\ErrorViewModel.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\RecordingDetails.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\SkillDamage_Simple.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Parser.cs", "C#", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 11, 81, 500
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Program.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 94
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Properties\launchSettings.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\build.log", "Log", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 31
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\classes.cs", "C#", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\db_helper.cs", "C#", 0, 1015, 0, 0, 0, 0, 0, 0, 0, 0, 44, 133, 1192
